Machine ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Description
M-001,L,298.1,308.6,1500,42.8,50,Healthy machine - normal operation
M-002,L,298.2,308.7,1408,46.3,80,Healthy machine - normal operation
M-003,M,298.5,309.0,1741,28.0,21,Healthy machine - normal operation
M-004,H,298.4,308.9,1782,23.9,24,Healthy machine - normal operation
M-005,L,300.0,310.0,1300,55.0,180,Moderate risk - increasing tool wear
M-006,M,300.5,310.5,1250,60.0,200,Moderate risk - high torque and wear
M-007,H,300.5,310.5,1350,58.0,195,Moderate risk - watch closely
M-008,L,301.0,311.0,1200,65.0,220,High risk - multiple stress factors
M-009,M,305.0,315.0,1100,80.0,260,Critical - imminent failure expected
M-010,L,305.0,315.0,1100,80.0,260,Critical - scheduled maintenance needed
M-011,L,298.9,309.1,2861,4.6,143,Failure-prone - overspeed detected
M-012,M,298.9,309.0,1410,65.7,191,Failure-prone - high torque and wear
M-013,H,301.3,310.1,1324,72.8,159,Failure-prone - extreme torque
M-014,L,300.9,310.4,1331,68.3,24,Failure-prone - power overload
M-015,M,297.6,308.3,1347,55.8,188,Borderline - monitor
